able	unable
double	single
multiple-choice	true-false
single-lane	multilane; four-lane; divided, dual-lane; two-lane; three-lane
sized; grape-sized; cherry-sized; wolf-sized; cookie-sized; orange-sized; pig-sized; crow-sized; threepenny; sparrow-sized; kiwi-sized; squirrel-sized; medium-sized, moderate-size, medium-size, moderate-sized; rabbit-sized; dog-sized; eightpenny; mouse-sized; shrew-sized; ferret-sized; ninepenny; human-sized; size; fourpenny; sorted; apple-sized; turkey-sized	unsized; unsorted
sized	unsized
skilled; arch; sure-handed; ball-hawking; accomplished, complete; proficient, skillful, expert, skilful, practiced, adept, good; mean; experient, experienced; versatile; hot; delicate; competent; masterly, consummate, masterful, virtuoso; technical, expert	unskilled; inexperient, inexperienced; lubberly; botched, bungled; lowly, humble, menial; clumsy, fumbling, incompetent, bungling; rusty, out of practice; semiskilled; crude, rough; incompetent; hopeless; artless; unskillful, botchy, butcherly; weak
verbal	mathematical, numerical
coarse, harsh; granulated; plushy, plush-like; open, loose; coarse-grained, large-grained; unsmooth, rough; grainy, gritty, granular, coarse-grained, granulose, mealy, farinaceous	fine; small-grained, pulverised, powdered, pulverized, powdery, fine-grained; superfine; floury; close, tight; small; smooth; close-grained, fine-grained; dustlike; nongranular
smoky; blackened; smoke-filled; smoking	smokeless; smoke-free
slippery, slippy; slithery; slick; nonstick; slithering, slipping; slimy, slimed; smooth; lubricious; sliding	nonslippery; nonslip; nonskid; unsmooth, rough
greased, lubricated	ungreased, unlubricated
smooth; smooth-textured, fine-textured; fast; ironed; creaseless, uncreased; even-textured; even; fine; slippery, slippy; velvet-textured, velvety, velvet; unlined, seamless, unseamed; sleek, aerodynamic, streamlined, flowing; glassy	rough, unsmooth; imbricated, imbricate; broken, rugged; leprose, scaly, lepidote, scurfy, scabrous; nubbly, homespun, tweedy, slubbed, nubby; alligatored, cracked; roughish; coarse, harsh; bullate; shaggy, shagged; corded, twilled; nonslippery; squamulose; ribbed, costate; rough-textured, coarse-textured, textured; lined, seamed; pockmarked, pocked, potholed; rocky, bouldery, stony, bouldered; bumpy; sandpapery; verrucose, wartlike, warty; barky; scratchy, abrasive; pebbly, shingly, gravelly; rugose; chapped, cracked, roughened; saw-like; crushed; scabby; unironed, wrinkled; unpolished; cragged, craggy, hilly, mountainous; irregular; uneven; rockbound, rock-ribbed
smooth	bumpy, rocky, jolting, jumpy, jolty, rough
furrowed, rugged; rutty, rutted; canaliculate; corrugated	unfurrowed
smooth; simple, unsubdivided; repand; undulate; compound; entire; unnotched, untoothed; sinuate	rough; bidentate; simple, unsubdivided; dentate; lacerate, lacerated; ciliate, ciliated; biserrate; runcinate; fimbriate; spinose; crenulated, crenulate; compound; crispate; fringed, laciniate; saw-toothed, serrate, notched, serrated, toothed; denticulate; rimose; jaggy, notched, erose, toothed, jagged; emarginate; pectinate; crenate, crenated, scalloped; serrulate
rifled	smoothbore, unrifled
social; ethnic, ethnical, cultural; gregarious; interpersonal; friendly; multi-ethnic, multiethnic; sociable; gregarious	unsocial; recluse, withdrawn, reclusive; unsociable; asocial; solitary, lonely, lone; alone; asocial, antisocial; ungregarious
accompanied	unaccompanied; stranded, marooned, isolated; tod; solitary, lonely, alone, lone; unattended
accompanied, attended	unaccompanied; a cappella; solo
gregarious; social; social	ungregarious; unsocial; solitary, nongregarious, nonsocial
gregarious; clustered	ungregarious; cespitose, caespitose, tufted
seamed; sewn, stitched, sewed; seamy	seamless; circular-knit; broadloom; unseamed
seeded	unseeded
seedy; several-seeded, multi-seeded; white-seeded; small-seeded; seeded; three-seeded; seeded; black-seeded; single-seeded, one-seed, one-seeded	seedless; seeded; stoneless
shuttered; closed	unshuttered
sleeved	sleeveless
sociable; extraversive, extroversive; friendly; clubable, clubbable; social; outgoing, forthcoming, extroverted; clubbish, clubby; convivial, good-time; social; companionable	unsociable; unsocial; antisocial; unfriendly; ungregarious
sold; sold-out; oversubscribed	unsold
soled	soleless
solid; concrete; coagulated, solidified; solid-state; dry; congealed, jellied, jelled; hard; solid-state; semisolid	gaseous; volatilised, vapourised, vaporized, volatilized, gasified; airlike, aeriform; aerosolised, aerosolized; evaporated; gassy; vapourific, vaporous, vapourous, vaporific, vaporish, vapourish
solid; concrete; coagulated, solidified; solid-state; dry; congealed, jellied, jelled; hard; solid-state; semisolid	liquid; liquified, liquefied; runny, fluid; semiliquid; liquifiable, liquefiable; watery
liquid; liquified, liquefied; runny, fluid; semiliquid; liquifiable, liquefiable; watery	gaseous; volatilised, vapourised, vaporized, volatilized, gasified; airlike, aeriform; aerosolised, aerosolized; evaporated; gassy; vapourific, vaporous, vapourous, vaporific, vaporish, vapourish
solid; massive	hollow; fistular, fistulous, fistulate; cavernous; recessed, sunken, deep-set; tubelike, cannular, vasiform, tube-shaped, tubular; empty
soluble; fat-soluble; dissolvable, dissoluble; meltable, disintegrable; water-soluble; alcohol-soluble; oil-soluble	indissoluble, insoluble; water-insoluble, non-water-soluble
soluble; explicable; answerable; resolvable, solvable	insoluble; inexplicable, incomprehensible; insolvable, unresolvable, unsolvable, unsoluble
resolved, solved	unresolved, unsolved
some; any, whatsoever, whatever; both; few; several; many	no; none; zero; nary
some; any, whatsoever, whatever; both; few; several; many	all; every; each; every last; every
no; none; zero; nary	all; every; each; every last; every
sophisticated; refined, urbane, svelte, polished; worldly-wise; elegant; literate; blase, worldly; informed; disenchanted; intelligent, well-informed; secular, worldly, temporal; widely distributed, cosmopolitan	naif, naive; gullible, fleeceable, green; credulous; simple-minded; uninformed; simple, dewy-eyed, wide-eyed, childlike, round-eyed; credulous; ingenuous, innocent; unworldly; unworldly, unsophisticated
sound; solid; uninjured; healthy; fit; stable; undamaged; wholesome; safe, secure, dependable, good; unbroken; healthy	unsound; long; unhealthy; injured; damaged; unfit; risky, speculative, bad, high-risk; wildcat; broken; unwholesome
sound; strong, substantial, solid	unsound; rotted, rotten, decayed; corroded
effervescent; carbonated; aerated, charged; foamy, spumy, bubbling, bubbly, foaming, effervescing, frothy; fizzy, fizzing	noneffervescent; flat; uncarbonated, noncarbonated
effervescent, sparkling	noneffervescent, still
specialised, specialized; specific; special; specialistic; differentiated	unspecialised, unspecialized; generalized, generalised; general
spinous, spiny	spineless
spirited; gallant, dashing; lively, racy; resilient; feisty, plucky, spunky; mettlesome; vibrant, vivacious; snappy, whipping; saucy, irreverent, impertinent, pert; zestful, zesty, yeasty, barmy; con brio; sprightly; high-spirited, ebullient, exuberant; lively; enthusiastic; knockabout, boisterous; energetic	spiritless; listless, dispirited; apathetic; dull; unenthusiastic; bloodless; thin; heartless
self-generated, spontaneous; instinctive, natural; intuitive; impulsive, unprompted	induced; iatrogenic; elicited, evoked
spoken; articulate; oral, unwritten; verbal; viva-voce, word-of-mouth; uttered, expressed, verbalized, verbalised	written; inscribed; in writing, graphical, graphic; cursive; left-slanting, backhand; scrivened; longhand; holographic; scripted, written; shorthand; engrossed; handwritten
soft, sonant, voiced	hard, surd, unvoiced, voiceless; whispered
written; codified, statute	unwritten; common-law
vocalic; vowellike	consonantal
stoppable; abatable	unstoppable; unbeatable
syllabic	nonsyllabic
syllabic	accentual
syllabic	quantitative
syllabic; polysyllabic; disyllabic; syllabled; monosyllabic; pentasyllabic; octosyllabic; decasyllabic	nonsyllabic, unsyllabic; unsyllabled
accentual	quantitative
stable; constant; lasting, permanent; steady; stabile; unfluctuating, firm, steady; lasting; stabilised, stabilized	unstable; coseismal, coseismic; wobbly, shaky, rickety, wonky; crank, tippy, tender, cranky; seismal, seismic; tottering; unsteady; rocky; volcanic; volatile, explosive; top-heavy; tipsy; temporary, impermanent; inconstant
disconnected, staccato; disconnected, abrupt	legato, smooth
staged	unstaged; unperformed
standard; casebook, textbook; orthodox; basic, canonic, canonical; criterional, criterial; classical, authoritative, definitive, classic	nonstandard
standard; regular; standardized, standardised; modular; stock; normal; regulation	nonstandard; deficient, inferior, substandard; nonnormative
received, standard; acceptable; classical	nonstandard; bad; unaccepted, unacceptable
starchy; starchlike, amyloidal, amyloid, amylaceous, farinaceous	starchless
starry; comet-like; sparkling; starlit; starlike	starless
nourished; corn-fed; well-nourished, well-fed; stall-fed; overfed; replete, full	malnourished; unnourished; unfed; foodless; starving, starved; underfed, ill-fed, undernourished
steady; stable; sure; firm; steady-going, rock-steady, dependable; even, regular; unagitated; steadied; sure-footed, footsure, surefooted; even; unwavering, level	unsteady; uneven; shuddering; irregular; unstable; arrhythmic, jerking, jerky; faltering; fluctuating; shifting, shifty; tottering, tottery; uneven; palpitant, palpitating; spasmodic, convulsive, spastic; shaky, trembling, shivering; agitated; quavering, tremulous; wobbling; flickering, aflicker
stemmed	stemless; stemmed
stimulating; thrilling; salty, piquant; interesting; exciting; exciting; stimulative; invigorating; thought-provoking, challenging; rousing, stirring; moving	unexciting, unstimulating; dry, juiceless; vapid; uninteresting; bland, flat; unexciting; unmoving
depressant; relaxant; sedative, ataraxic, tranquillising, ataractic, tranquilising, tranquillizing, tranquilizing; soporiferous, somniferous, hypnagogic, somnific, soporific, hypnogogic; narcotic, narcotizing, narcotising	stimulative; analeptic; adrenocorticotropic, adrenocorticotrophic; stimulating; stimulant, stimulating; excitative, excitant, excitatory; irritative, irritating
stomatous; mouthlike	astomatous, mouthless
straight; aligned; unbent; untwisted; vertical, perpendicular; direct	crooked; indirect; geniculate; twisting, voluminous, tortuous, twisty, winding; warped; squiggly; anfractuous; reflexed; skew-whiff, lopsided, cockeyed, awry, askew, wonky; coiled; malposed; contorted, writhen, writhed; akimbo; deflective, refractive; gnarled, knobbed, knotted, gnarly, knotty; zigzag, zig-zag; aquiline, hooked; windblown; wry
straight; trabeated, trabeate; uncurved, uncurving	curved, curving; recurved, recurvate; sinusoidal; sinuate, sinuous, wiggly; semicircular; arcuate, arced, bowed, arching, arciform, arched; eellike; curvilinear, curvilineal; falcate, falciform, sickle-shaped; hooklike, hooked; curvey, curvy; incurvate, incurved; flexuous; serpentine, snakelike, snaky; upcurved
coiled; involute; helical, voluted, turbinate, whorled, volute, spiraling, spiral, coiling; rolled, involute; convolute, convoluted; wound	straight, uncoiled; uncurled
square, straight; aboveboard, straightforward; straightarrow; honest, honorable; transparent, guileless; lawful	corrupt, crooked; dishonest, dishonorable; unlawful; underhand, underhanded, sneaky
accented, stressed; masculine; emphasized, emphasised, emphatic	unstressed; unemphatic; feminine; unaccented, weak, light
accented, tonic	atonic, unaccented
strong; weapons-grade, industrial-strength; powerful; toughened, tough; beardown; ironlike; rugged; hefty, powerful, sinewy, muscular, brawny; bullnecked; robust; noticeable; virile; bullocky; strengthened, reinforced; well-set, well-knit; knock-down, powerful; vehement; robust; severe, knockout, hard; stiff; beefed-up; fortified	weak; delicate; wishy-washy, gutless, spineless, namby-pamby; anaemic, anemic; lame, feeble; sick, pale, pallid, wan; shoddy, jerry-built; powerless; flimsy; faint, feeble; vulnerable; adynamic, asthenic, enervated, debilitated; weakened; puny; tender, untoughened
obstinate, unregenerate, stubborn; stiff-necked; hardheaded, mulish; bloody-minded, cantankerous; disobedient; strong-willed, strong-minded; cross-grained, contrarious; determined; uncompromising, sturdy, inflexible; unyielding, dour, tenacious, dogged, pertinacious, persistent; bullet-headed, bullheaded, pigheaded; intractable; bolshy, stroppy	docile; tractable, manipulable; sheeplike, sheepish; obedient; meek, tame; yielding
subordinate; subservient; feudatory; submissive; ruled; low-level, subordinate; dependent, subject	insubordinate; rebellious; mutinous; unruly, disobedient; contumacious; noncompliant, defiant
successful; productive; boffo; productive; triple-crown; sure-fire; made; undefeated; fortunate; self-made; palmy, flourishing, prospering, booming, roaring, prosperous, thriving; no-hit; triple-crown; in; victorious, winning	unsuccessful; scoreless, goalless, hitless; attempted; no-win; hitless; frustrated, foiled, defeated, thwarted, discomfited, disappointed; down-and-out; unfortunate; out; undone, ruined, washed-up, done for, sunk; unplaced; self-defeating; unprofitable; empty-handed, unrewarded; unrealised, unrealized, unfulfilled; defeated; winless
sufficient; comfortable; adequate, decent, enough; ample	deficient, insufficient; scant, short, light; depleted, low; stingy, meager, meagre, scrimpy, meagerly; shy; inadequate, short, poor; skimpy, lean
sugary; syrupy, honeyed, honied; sugared, sweet, sweetened, sweet-flavored; sweet; sweet; sugar-coated, candied; honeylike	nonsweet, sugarless; unsugared; dry; unsweetened
superior; high-ranking, high-level, upper-level; superordinate; preeminent, leading; olympian, majestic; dominant; eminent, high; patronising, condescending, arch, patronizing; high; upper	inferior; lowly, small, humble, modest, low; outclassed; low-level; indifferent; low-level, subordinate; low; middle-level; low
superior; best; spiffing; pucka, pukka; A-one, first-rate, tops, crack, topnotch, top-notch, ace, super, tiptop; shining; top-flight, topping, top-hole; well-made; outstanding; first-class, splendid, excellent, fantabulous; capital; superlative, sterling, greatest; premium; superb, brilliant; transcendent, surpassing; brag, boss; weapons-grade; prize, choice, quality, select, prime; supreme; high-performance; select, blue-ribbon; banner; gilt-edged	inferior; bad; third-rate; less; utility, utility-grade; sleazy, crummy, bum, punk, cheesy, chintzy, tinny, cheap; coarse, common; ropey, ropy; scrubby, scrawny, stunted; cheapjack, tawdry, shoddy; worst; bush, bush-league; coarsened; second-class; commercial-grade, commercial; woeful, execrable, miserable, wretched, deplorable; base; mediocre, second-rate; low-grade
superior	inferior
superjacent; superimposed, overlying; superincumbent; incumbent	subjacent; underlying
superior, superscript	adscript
superior, superscript	inferior, subscript
inferior, subscript	adscript
supervised	unsupervised; unattended
supported; suspended; pendant, pendent, dependent; braced, buttressed; underslung; supernatant; based; gimbaled; underhung	unsupported; strapless; unbraced
supported; subsidised, subsidized	unsupported; uncorroborated, unsubstantiated; unbacked, unassisted, single-handed; idle, wild, unwarranted, groundless, baseless, unfounded
aided, assisted; power-assisted; motor-assisted	unassisted; naked; unaided
supportive; certificatory; substantiative, verifying, confirmative, verificatory, substantiating, collateral, confirmatory, corroborative, validatory, confirming, validating, corroboratory; appurtenant, adjunct, accessory, ancillary, auxiliary, adjuvant; supporting, encouraging; accessary, accessory; positive; demonstrative of	unsupportive; invalidating, disconfirming; negative; contradictory, confounding
surmountable; superable, conquerable; conquerable	insurmountable, unsurmountable; unconquerable; insuperable, unconquerable; impossible
surprised; startled; jiggered; goggle-eyed, popeyed, openmouthed; gobsmacked; stunned, astonished, astonied, astounded, amazed; thunderstruck, flabbergasted, dumbfounded, stupefied, dumbstruck, dumfounded, dumbstricken	not surprised, unsurprised
surprising; astonishing, amazing; unexpected; startling; stunning	unsurprising; expected
susceptible; vulnerable; amenable; suasible, persuasible, convincible, persuadable; unprotected; vulnerable; suggestible; liable, nonimmune, unresistant, nonresistant; predisposed; temptable; supersensitized, supersensitive, sensitised, sensitized, hypersensitized, allergic, hypersensitised, hypersensitive, supersensitised; open, capable, subject; fictile, pliable; amenable, tractable; sensitive; unvaccinated	insusceptible, unsusceptible; insensitive; unresponsive; immune, resistant; immunized, immunised, vaccinated; incapable; immunogenic; unsuasible, unpersuadable
impressible, impressionable, waxy; pliant, plastic; susceptible; spinnable; easy	unimpressionable
exempt; immune; excused; privileged	nonexempt; unexcused; taxpaying; liable
scheduled; regular	unscheduled; extra, special; forced
sweet; sweet; sugary	dry; sugarless, nonsweet; sour; medium-dry; brut; sec, unsweet
sweet; tasty; sweet; sugary; syrupy, saccharine, cloying, treacly; sweetish	sour; soured; subacid; tasty; acetose, vinegarish, vinegary, acetous; lemonlike, lemony, sourish, tangy, tart; astringent, acerbic, acerb; dry; acidulent, acid, acidulous, acidic
soured; turned, sour, off; sour	unsoured; fresh, sweet, unfermented
suspected	unsuspected; unknown
swept; sweptwing; sweptback	unswept
sworn; bound	unsworn
symmetric, symmetrical; interchangeable; biradial; radiate, radial, stellate; cruciform, cruciate; regular; bilaterally symmetrical, isobilateral, bilateral, bilaterally symmetric; parallel; centrosymmetric, radially symmetrical; isosceles; rhombohedral, trigonal; even, regular	asymmetric, asymmetrical; unsymmetrical, unsymmetric; noninterchangeable; lopsided; irregular
actinomorphic, actinomorphous; actinoid	bilaterally symmetrical, zygomorphous, zygomorphic
sympathetic; commiserative; kind; condolent; congenial; empathic, empathetic; compassionate	unsympathetic; unsympathizing, unsympathising; unresponsive; uncongenial, incompatible; uncompassionate
appealing, likable, likeable, sympathetic	unappealing, unsympathetic, unlikable, unlikeable
sympatric	allopatric
synchronic; synchronal, synchronous, synchronic	diachronic, historical
synchronal, synchronous, synchronic; contemporaneous, coetaneous, coeval; contemporaneous, contemporary; synchronic; coincident, simultaneous, cooccurring, coinciding, concurrent, coincidental, co-occurrent; synchronic; synchronized, synchronised; parallel; coexistent, coexisting	asynchronous; unsynchronous, unsynchronised, unsynchronized, nonsynchronous; serial, in series, nonparallel; allochronic; anachronic, anachronous, anachronistic
synchronous	asynchronous
syndetic	asyndetic
synonymous; similar; substitutable	antonymous; contrastive, incompatible; contradictory; complementary; contrary; converse
systematic; regular; organized	unsystematic; disorganized, disorganised; irregular
taciturn; buttoned-up; incommunicative, uncommunicative; concise; untalkative, reticent	voluble; communicative, communicatory; talkative, gabby, chatty, loquacious, garrulous, talky; prolix
tactful; considerate; discreet, discerning	tactless, untactful; inelegant; inconsiderate
tall; big, large; in height; leggy, tall-growing; rangy, gangly, lanky, gangling; statuesque, stately; long-legged, long-shanked, leggy; long; long-stalked, tall-stalked; tallish; high	little, short; sawn-off, pint-size, sawed-off, pint-sized, runty; stumpy, chunky, low-set, squat, squatty, dumpy; half-length; squabby, squab; thick, thickset, stocky, heavyset, compact; low; short-stalked
tame, tamed; tractable, manipulable; tamed; broken, broken in; domesticated, domestic; cultivated; gentle, docile	untamed, wild; feral, ferine, savage; semi-wild; undomesticated; unbroken; intractable
tame; quiet; subdued	wild; frenzied, manic; disorderly, chaotic; delirious, excited, frantic, mad, unrestrained; unquiet; unsubdued
tangible, touchable; tactual, tactile; concrete	impalpable, intangible; abstract
tangible; real; realizable	intangible
tasteful; aesthetic, artistic, esthetic; elegant; unpretentious; understated, unpretentious, unostentatious	tasteless; barbaric; off-colour, off-color, indelicate; pretentious, ostentatious; pretentious; tacky, gimcrack, trashy, brassy, flashy, garish, flash, tawdry, meretricious, tatty, loud, gaudy, cheap; camp, campy; inelegant; Brummagem
tasty; hot, spicy; flavorful, flavorsome, saporous, flavoursome, flavourful, flavorous, flavourous, sapid; sweet; sour-tasting, acid-tasting; fruity; dainty; nectarous, ambrosial, ambrosian; grapey, grapy; spicy, savory, zesty, piquant, savoury; choice; smoky; sour; appetising, appetizing; yummy, luscious, delectable, delicious, pleasant-tasting, scrumptious, toothsome; bitter; robust, full-bodied, rich, racy; toothsome, palatable; nippy; winy, winey; salty; mild-tasting; semisweet, bittersweet; sharp-tasting, bitterish; acrid, pungent; gingery; salty; sour; nutlike, nutty; peppery; strong-flavored	tasteless; unseasoned, unsalted; unappetising, unappetizing; insipid, savorless, bland, flavorless, vapid, flat, flavourless, savourless; unpalatable; unflavoured, nonflavored, nonflavoured, unflavored
nonexempt, taxable; nonexempt; dutiable; assessable; rateable, ratable	exempt, nontaxable; unratable; tax-exempt, untaxed, tax-free; exempt; duty-free
temperate; abstemious, light; moderate; mild; restrained, moderate	intemperate; immoderate; intense; big, heavy
temperate; cold-temperate; clement; equable	intemperate; inclement
tense; overstrung; taut, tight; tight	lax; loose, slack; limp; tensionless; floppy; loose; drooping, droopy, sagging; loose-jointed
tense; constricted	lax
tense; taut; wound up, aroused; itchy, fretful, antsy, fidgety; strained; electric; unrelaxed; nervous; isotonic; agitated; wired, pumped, pumped up, pumped-up; jittery, uptight, nervy, high-strung, overstrung, restive, edgy, highly strung, jumpy; uneasy; suspenseful, nail-biting, cliff-hanging, suspensive	relaxed; easy; unagitated; mellow, laid-back; unstrained; degage
territorial; regional; jurisdictional; sectional	exterritorial, extraterritorial
territorial	nonterritorial
thermoplastic	thermoset, thermosetting
thick; heavy; deep; two-ply; fat; deep-chested; fat; quilted; wide, broad; three-ply; heavy; four-ply; thickened	thin; slender; ribbonlike, ribbony; tenuous; light; lean, thin; hyperfine; wafer-thin; bladed; gauzy, transparent, diaphanous, vaporous, see-through, filmy, gossamer, vapourous, sheer, gauze-like, cobwebby; depressed; papery; compressed, flat; narrow; paper thin; sleazy; fine; capillary, hairlike; thready, filamentlike, filiform, filamentous, threadlike
thick; curdled, grumous, coagulated, coagulate, grumose; coagulable; gelatinous, gelatinlike, jellylike; thickened; clotted, clogged; ropey, thready, ropy, stringy; soupy; creamy; syrupy, viscous; dense, heavy, impenetrable	thin; tenuous; rare, rarified, rarefied
thinkable; supposable, presumable, surmisable; possible; imaginable, conceivable; cogitable, ponderable; believable, credible	unthinkable; impossible; unbelievable, incredible; out of the question, impossible, unimaginable, inconceivable
thoughtful; excogitative; cogitative; considerate; ruminative, broody, meditative, contemplative, pondering, brooding, pensive, reflective, musing; deep in thought, bemused, lost, preoccupied; deliberative; well thought out	thoughtless; inconsiderate, unconsidered; unreflective, unthoughtful, unthinking; inconsiderate
thrifty; penny-wise; provident; saving; stinting, sparing, economical, scotch, frugal	wasteful; improvident; uneconomic, uneconomical; profligate, extravagant, spendthrift, prodigal; pound-foolish
tidy; straight; neat; unlittered, uncluttered; trim, trig, clean-cut; orderly, neat; shipshape, well-kept, trim; clean; fastidious; slicked up; groomed; ruly	untidy; unclean, soiled, dirty; topsy-turvy, jumbled, hugger-mugger, disorderly, higgledy-piggledy; sloppy; mussy, messy; slouchy; scraggly; straggly, straggling, rambling, sprawling; unkempt; tousled, rumpled, frowzled, dishevelled, disheveled; ungroomed; blowzy, sluttish, blowsy, slatternly; cluttered, littered; slovenly, frowsy, frowzy; unfastidious
groomed; sleek; well-groomed; well-dressed, well-groomed; brushed; tidy; tidy, kempt; slicked, plastered; pomaded	ungroomed; ill-dressed; untidy; unbrushed; shaggy-coated, shaggy, bushy, shaggy-haired
combed	uncombed; unkempt; uncombable
timbered; half-timbered, half-timber; timber-framed	untimbered
toned	toneless
tongued; tonguelike	tongueless
tipped; spine-tipped; yellow-tipped; filter-tipped; plume-tipped; pink-tipped; thorn-tipped	untipped
tired; washed-out, played out, worn out, dog-tired, spent, worn-out, fatigued, fagged, exhausted; drained, knackered; burnt-out, burned-out; careworn, haggard, raddled, worn, drawn; bushed, dead, all in, beat; ragged; wearied, jaded; footsore; unrested, unrefreshed; weary, aweary; drooping, flagging; bleary, blear-eyed, blear, bleary-eyed; travel-worn; whacked; world-weary, bored	rested; lively; unwearied, untired, unweary; fresh, invigorated, refreshed, reinvigorated
tolerable; tolerant, resistant; permissible, allowable; supportable, sufferable, bearable, endurable	intolerable, unendurable, unbearable; unsupportable; unsufferable, unacceptable, insufferable, impossible; bitter; impermissible
tolerant; patient; unbigoted; charitable	intolerant; bigoted; uncharitable; rigid, strict
tonal; diatonic; tonic; polytonal; keyed; toned	atonal, unkeyed
toothed; buck-toothed; gap-toothed; small-toothed; toothy; cogged; fine-toothed, fine-tooth; saber-toothed, sabertoothed, sabre-toothed; tusked; toothlike	toothless; edentulous; edental, edentulate, edentate
top; upper; best; upmost, topmost, uppermost; crowning; apical; high	side; broadside; lateral, sidelong
top; upper; best; upmost, topmost, uppermost; crowning; apical; high	bottom; inferior; nether; nethermost, bottommost, lowermost
bottom; inferior; nether; nethermost, bottommost, lowermost	side; broadside; lateral, sidelong
topped; screw-topped; lidded; flat-topped, flat-top	topless; lidless
bottomed; copper-bottomed; flat-bottom, flat-bottomed; bell-bottom, bellbottom, bell-bottomed; round-bottom, round-bottomed	bottomless
top-down	bottom-up
equatorial; pantropical, pantropic; tropic, tropical	polar; circumpolar; north-polar, Arctic; Antarctic, south-polar
testate	intestate
touched; brushed; grazed	untouched
tough; stringy, unchewable, fibrous, sinewy; uneatable, inedible; tough-skinned; chewy; leathered, leatherlike, coriaceous, leathery; gristly, cartilaginous, rubbery; hempen, fibrous	tender; cuttable, chewable; tenderized, tenderised; edible, eatable, comestible; flakey, flaky; crispy, crisp
tough, toughened; weather-beaten; experient, experienced; callous, thickened, calloused; hardened, enured, inured; rugged; strong	tender, untoughened; delicate, soft; weak
tough; pugnacious, hard-bitten, hard-boiled; unsentimental, tough-minded; hard; insensitive	tender; soft; sentimental; protective
toxic; harmful; hepatotoxic; cyanogenic, cyanogenetic; toxicant, poisonous; unhealthful; virulent, deadly, venomous; nephrotoxic; noxious; ototoxic	atoxic, nontoxic; antitoxic; harmless; non-poisonous, nonpoisonous; nonvenomous
manipulable, tractable; tameable, tamable; docile; docile, teachable; tamed, tame; malleable, ductile; obedient; manageable; compliant	intractable; uncontrollable, unmanageable; noncompliant, defiant; unmalleable; wild, untamed; difficult, unmanageable; disobedient; balky, balking; stubborn, unregenerate, obstinate; stubborn, refractory
prix fixe, table d'hote	a la carte
traceable, trackable	untraceable
tracked; half-tracked, half-track; caterpillar-tracked	trackless
traveled; heavily traveled	untraveled, untravelled; untraversed
cut, trimmed; clipped	uncut, untrimmed; unclipped
troubled; careful; troublous; mothy; clouded; haunted; stressed, distressed; distressed, hard put, hard-pressed, in a bad way; harassed, pestered, vexed, harried, annoyed; unquiet; distressed, disturbed, upset, disquieted, worried; struggling; heavy-laden, care-laden; tempest-swept, storm-tossed, buffeted, tempest-tossed, tempest-tost; concerned; fraught; hag-ridden, hagridden, tormented; suffering; anxious, unquiet, nervous, queasy, uneasy	untroubled; quiet; clear; unmolested; unconcerned; dreamless; trouble-free; undisturbed; unworried, carefree; unconcerned
true; faithful; genuine, literal, actual, real; sure; apodeictic, apodictic; genuine, echt; sincere; truthful; right, correct; honest, honorable	false; dishonest, dishonorable; specious, spurious; insincere; wrong, incorrect; untrue; mendacious; counterfeit, imitative; trumped-up
trustful, trusting; credulous; unsuspecting, unsuspicious; confiding	distrustful; oversuspicious; misogynic; incredulous; overjealous, green-eyed, jealous; questioning, skeptical, doubting, sceptical; suspicious, untrusting, mistrustful, wary, leery; misanthropical, cynical, misanthropic
trustworthy, trusty; reliable, dependable; responsible, creditworthy; faithful; trusted, sure; honest, honorable; reliable, honest, dependable, true; responsible; fiducial; reliable, authentic	untrustworthy, untrusty; dishonest, dishonorable; slippery, tricky; unfaithful; undependable, unreliable; shady, fly-by-night; shifty, devious
tubed	tubeless
tucked	untucked
turned; revolved, rotated; inside-out, wrong-side-out; inverted, upside-down; reversed; upturned, overturned, upset	unturned; right-side-up; right-side-out
typical; veritable, regular; typic, exemplary, emblematic; true; representative; characteristic	atypical, untypical; unrepresentative; unnatural, abnormal; uncharacteristic
underarm, underhand, underhanded	overarm, overhand, overhanded; round-arm
surface; aboveground; opencut, opencast; grade-constructed	overhead
surface; aboveground; opencut, opencast; grade-constructed	subsurface; underground, belowground; submerged, underwater, submersed; subterraneous, subterranean; undersea, submarine
subsurface; underground, belowground; submerged, underwater, submersed; subterraneous, subterranean; undersea, submarine	overhead
submergible, submersible	nonsubmergible, nonsubmersible
tearful; snuffling, sniffly, snuffly; misty-eyed; weepy; swimming, liquid; teary-eyed, watery-eyed, teary	dry-eyed, tearless; dry
union; closed; organised, organized, unionized, unionised	nonunion; unorganised, nonunionized, nonunionised, unorganized; open
uniparous	multiparous; twinning, biparous
unipolar	bipolar; Janus-faced
united; unpartitioned; joint; in league; unitary, one; collective; coupled, conjugated, conjugate; cohesive; integrated, unified, merged, incorporate, incorporated; fused, amalgamate, coalesced, consolidated, amalgamated; agreed, in agreement; integrated; nonsegmental, unsegmented; undivided; tied; conjunct; coalescent, coalescing; allied, confederate, confederative; federate, federated; suprasegmental	divided; trifid; dichotomous; torn; black-and-white; pentamerous; sectioned, sectional; two-chambered, bicameral; segregated, unintegrated; distributive; pronged, tined; mullioned; bifid; branched, forficate, bifurcate, pronged, biramous, forked, fork-like, prongy; bisulcate, cloven; bifurcated; episodic; many-chambered; separate; biloculate, bilocular; disjunct; disjointed; segmental; disunited, disconnected, fragmented, split; segmented, metameric, segmental; two-pronged; chambered; three-pronged; four-pronged
adnate	connate
